Date,window,strategy,structure,position,lots,pnl,capital_after,iv_direction_correct
2024-09-20,7,manual_agree,butterfly,LONG_FLY,1,13650.0,81156.25000000033,False
2024-10-04,7,manual_agree,butterfly,SHORT_FLY,4,-6610.000000000014,74546.25000000032,True
2024-11-25,7,manual_agree,butterfly,LONG_FLY,7,-6947.499999999993,67598.75000000032,True
2024-12-19,7,manual_agree,butterfly,SHORT_FLY,3,5103.7500000000055,72702.50000000032,True
2025-01-16,8,manual_agree,butterfly,LONG_FLY,5,-6831.249999999998,65871.25000000032,False
2025-01-29,8,manual_agree,butterfly,LONG_FLY,11,-6283.750000000006,59587.50000000031,False
2025-02-05,8,manual_agree,butterfly,LONG_FLY,19,5866.249999999998,65453.75000000031,True
2025-02-24,8,manual_agree,butterfly,SHORT_FLY,1,-4307.500000000003,61146.25000000031,False
2025-02-28,8,manual_agree,butterfly,SHORT_FLY,2,5479.999999999993,66626.2500000003,True
2025-03-06,8,manual_agree,butterfly,LONG_FLY,3,6570.000000000004,73196.2500000003,False
2025-04-04,8,manual_agree,butterfly,SHORT_FLY,1,3961.2499999999995,77157.5000000003,False
2025-04-09,8,manual_agree,butterfly,SHORT_FLY,4,-6444.999999999982,70712.50000000032,True
2025-04-28,8,manual_agree,butterfly,LONG_FLY,6,-6525.0,64187.50000000032,True
2025-05-22,8,manual_agree,butterfly,SHORT_FLY,4,5689.999999999998,69877.50000000032,False
2025-06-09,8,manual_agree,butterfly,LONG_FLY,1,-6687.499999999998,63190.00000000032,False
2025-06-25,8,manual_agree,butterfly,LONG_FLY,3,-5272.500000000001,57917.50000000032,True
2021-07-28,1,data_driven,calendar,LONG_CALENDAR,4,9104.999999999998,109105.0,True
2021-09-29,1,data_driven,calendar,SHORT_CALENDAR,50,-5812.499999999829,103292.50000000017,False
2021-12-01,1,data_driven,calendar,LONG_CALENDAR,4,8894.999999999998,112187.50000000017,True
2021-12-02,1,data_driven,calendar,SHORT_CALENDAR,3,-8696.249999999995,103491.25000000017,True
2021-12-10,1,data_driven,calendar,SHORT_CALENDAR,20,-10199.999999999975,93291.2500000002,True
2022-02-16,2,data_driven,calendar,LONG_CALENDAR,9,-9247.499999999985,84043.75000000022,True
2022-03-02,2,data_driven,calendar,LONG_CALENDAR,1,4727.500000000001,88771.25000000022,True
2022-03-03,2,data_driven,calendar,LONG_CALENDAR,3,8242.499999999989,97013.7500000002,False
2022-03-10,2,data_driven,calendar,SHORT_CALENDAR,50,-6375.000000000028,90638.75000000017,True
2022-03-16,2,data_driven,calendar,LONG_CALENDAR,2,-6174.999999999997,84463.75000000017,True
2022-04-06,2,data_driven,calendar,LONG_CALENDAR,2,5860.000000000002,90323.75000000017,False
2022-04-27,2,data_driven,calendar,LONG_CALENDAR,5,8262.499999999989,98586.25000000016,True
2022-05-11,2,data_driven,calendar,LONG_CALENDAR,3,-9082.500000000002,89503.75000000016,True
2022-06-29,2,data_driven,calendar,LONG_CALENDAR,3,6922.500000000002,96426.25000000016,True
2022-07-11,3,data_driven,calendar,SHORT_CALENDAR,7,8680.000000000004,105106.25000000016,True
2022-08-29,3,data_driven,calendar,LONG_CALENDAR,2,7104.999999999998,112211.25000000016,True
2022-09-14,3,data_driven,calendar,LONG_CALENDAR,7,10464.999999999993,122676.25000000015,True
2022-09-21,3,data_driven,calendar,SHORT_CALENDAR,9,12037.500000000013,134713.75000000015,True
2022-09-26,3,data_driven,calendar,LONG_CALENDAR,16,13240.000000000033,147953.75000000017,True
2022-09-29,3,data_driven,calendar,LONG_CALENDAR,50,2250.000000000014,150203.75000000017,False
2022-09-30,3,data_driven,calendar,SHORT_CALENDAR,17,-14280.000000000058,135923.75000000012,True
