Date,strategy,option_type,strike,expiry,dte,open,close,lot_size,pnl,iv_direction_correct
2025-03-13,data_driven,CE,22400.0,2025-03-20,7,250.0,140.35,25,-2741.25,False
2025-03-17,data_driven,PE,22500.0,2025-03-20,3,130.0,98.6,25,-785.0000000000001,False
2025-03-20,data_driven,PE,23200.0,2025-03-27,7,232.5,137.05,25,-2386.2499999999995,True
2025-03-25,data_driven,PE,23650.0,2025-03-27,2,99.0,80.25,25,-468.75,False
2025-04-04,data_driven,CE,22900.0,2025-04-09,5,310.0,110.55,25,-4986.25,False
2025-04-09,data_driven,CE,22400.0,2025-04-17,8,350.05,321.65,25,-710.0000000000009,True
2025-04-11,data_driven,PE,22850.0,2025-04-17,6,300.0,242.3,25,-1442.4999999999998,True
2025-04-15,data_driven,PE,23350.0,2025-04-17,2,240.05,123.4,25,-2916.25,True
2025-04-17,data_driven,PE,23850.0,2025-04-24,7,489.95,192.65,25,-7432.499999999999,True
2025-04-21,data_driven,PE,24150.0,2025-04-24,3,319.25,132.15,25,-4677.5,False
2025-04-22,data_driven,PE,24150.0,2025-04-24,2,110.0,83.7,25,-657.4999999999999,False
2025-04-23,data_driven,PE,24350.0,2025-04-24,1,125.0,88.05,25,-923.7500000000001,False
2025-04-24,data_driven,CE,24250.0,2025-04-30,6,231.95,203.0,25,-723.7499999999998,False
2025-04-25,data_driven,CE,24050.0,2025-04-30,5,369.95,172.0,25,-4948.75,True
2025-04-28,data_driven,PE,24350.0,2025-04-30,2,328.25,107.5,25,-5518.75,True
2025-05-05,data_driven,PE,24450.0,2025-05-08,3,151.0,98.85,25,-1303.7500000000002,True
2025-05-13,data_driven,CE,24600.0,2025-05-15,2,362.6,128.15,25,-5861.25,False
2025-05-22,data_driven,CE,24600.0,2025-05-29,7,360.25,229.15,25,-3277.5,False
2025-05-26,data_driven,CE,25000.0,2025-05-29,3,144.9,222.9,25,1950.0,True
2025-05-27,data_driven,CE,24850.0,2025-05-29,2,288.75,191.85,25,-2422.5,True
2025-05-28,data_driven,CE,24750.0,2025-05-29,1,224.95,119.35,25,-2640.0,False
2025-06-09,data_driven,PE,25100.0,2025-06-12,3,150.2,130.5,25,-492.4999999999997,False
2025-06-16,data_driven,CE,24950.0,2025-06-19,3,95.0,141.5,25,1162.5,True
2025-06-17,data_driven,CE,24850.0,2025-06-19,2,170.0,99.35,25,-1766.2500000000002,False
2025-06-18,data_driven,PE,24800.0,2025-06-19,1,111.0,82.1,25,-722.5000000000001,False
2025-06-19,data_driven,PE,24800.0,2025-06-26,7,200.25,189.4,25,-271.2499999999999,True
2025-06-20,data_driven,PE,25100.0,2025-06-26,6,355.85,150.75,25,-5127.500000000001,True
2025-06-23,data_driven,CE,24950.0,2025-06-26,3,180.0,163.55,25,-411.2499999999997,True
2025-06-25,data_driven,PE,25250.0,2025-06-26,1,146.0,68.1,25,-1947.5000000000002,True
2021-01-28,manual_agree,CE,13800.0,2021-02-04,7,269.5,232.1,75,-2805.0000000000005,False
2021-02-02,manual_agree,PE,14650.0,2021-02-04,2,255.55,100.4,75,-11636.25,True
2021-02-04,manual_agree,PE,14900.0,2021-02-11,7,211.0,171.25,75,-2981.25,True
2021-02-23,manual_agree,CE,14700.0,2021-02-25,2,117.0,100.6,75,-1230.0000000000005,True
2021-02-25,manual_agree,PE,15100.0,2021-03-04,7,200.3,134.2,75,-4957.500000000002,True
2021-03-04,manual_agree,CE,15100.0,2021-03-10,6,142.7,186.7,75,3300.0,True
2021-08-24,manual_agree,PE,16600.0,2021-08-26,2,109.9,47.15,75,-4706.250000000001,True
2021-09-24,manual_agree,PE,17850.0,2021-09-30,6,274.7,116.75,75,-11846.25,False
2021-09-29,manual_agree,CE,17700.0,2021-09-30,1,74.95,70.85,75,-307.5000000000006,True
2021-12-01,manual_agree,CE,17150.0,2021-12-02,1,51.0,83.05,75,2403.75,True
2021-12-06,manual_agree,CE,16900.0,2021-12-09,3,362.6,145.4,75,-16290.000000000002,True
2022-01-19,manual_agree,CE,17950.0,2022-01-20,1,173.65,60.2,50,-5672.5,True
2022-02-02,manual_agree,PE,17800.0,2022-02-03,1,127.2,74.8,50,-2620.0000000000005,True
2022-03-02,manual_agree,CE,16600.0,2022-03-03,1,200.0,139.95,50,-3002.5000000000005,True
2022-03-07,manual_agree,CE,15850.0,2022-03-10,3,233.85,237.15,50,165.00000000000057,True
2022-03-10,manual_agree,PE,16600.0,2022-03-17,7,245.45,250.55,50,255.00000000000114,True
2022-03-16,manual_agree,PE,17000.0,2022-03-17,1,210.9,131.85,50,-3952.5000000000005,False
2022-04-27,manual_agree,CE,17050.0,2022-04-28,1,98.35,79.4,50,-947.4999999999994,True
2022-06-13,manual_agree,CE,15750.0,2022-06-16,3,233.9,156.75,50,-3857.5000000000005,True
2022-07-11,manual_agree,PE,16200.0,2022-07-14,3,153.0,111.0,50,-2100.0,True
2022-08-29,manual_agree,CE,17300.0,2022-09-01,3,140.15,124.75,50,-770.0000000000002,True
2022-09-14,manual_agree,CE,18000.0,2022-09-15,1,41.0,86.0,50,2250.0,True
2022-09-26,manual_agree,CE,17000.0,2022-09-29,3,299.0,160.35,50,-6932.5,True
2022-10-04,manual_agree,PE,17250.0,2022-10-06,2,173.1,75.6,50,-4875.0,True
2022-10-31,manual_agree,PE,18000.0,2022-11-03,3,175.0,100.7,50,-3715.0,True
2022-11-11,manual_agree,PE,18350.0,2022-11-17,6,150.55,96.2,50,-2717.5000000000005,True
2022-12-07,manual_agree,CE,18550.0,2022-12-08,1,159.6,80.05,50,-3977.5,True
2022-12-14,manual_agree,PE,18650.0,2022-12-15,1,70.2,47.45,50,-1137.5,True
2022-12-16,manual_agree,CE,18250.0,2022-12-22,6,173.1,126.25,50,-2342.4999999999995,True
