Date,strategy,position,expiry,dte,open,close,lot_size,pnl,iv_direction_correct
2022-03-07,manual_agree,LONG,2022-03-31,24,15900.0,15872.2,50,-1389.9999999999636,True
2022-03-10,manual_agree,SHORT,2022-03-31,21,16730.0,16611.9,50,5904.999999999927,True
2022-03-16,manual_agree,SHORT,2022-03-31,15,16870.0,17008.75,50,-6937.5,False
2022-04-27,manual_agree,LONG,2022-04-28,1,17078.0,17053.8,50,-1210.0000000000364,True
2022-06-13,manual_agree,LONG,2022-06-30,17,15900.1,15766.25,50,-6692.500000000018,True
2022-07-11,manual_agree,SHORT,2022-07-28,17,16152.0,16203.5,50,-2575.0,True
2022-08-29,manual_agree,LONG,2022-09-29,31,17290.0,17370.25,50,4012.5,True
2022-09-14,manual_agree,LONG,2022-09-29,15,17826.65,18020.4,50,9687.5,True
2022-09-26,manual_agree,LONG,2022-09-29,3,17175.0,17028.75,50,-7312.5,True
2022-10-04,manual_agree,SHORT,2022-10-27,23,17140.0,17293.0,50,-7650.0,True
2022-10-31,manual_agree,SHORT,2022-11-24,24,17948.0,18051.05,50,-5152.499999999964,True
2022-11-11,manual_agree,SHORT,2022-11-24,13,18332.55,18424.0,50,-4572.500000000036,True
2022-12-07,manual_agree,LONG,2022-12-29,22,18680.15,18670.25,50,-495.00000000007276,True
2022-12-14,manual_agree,SHORT,2022-12-29,15,18775.55,18748.9,50,1332.4999999998909,True
2022-12-16,manual_agree,LONG,2022-12-29,13,18367.0,18328.65,50,-1917.4999999999272,True
2023-02-15,manual_agree,SHORT,2023-02-23,8,17899.8,18035.15,50,-6767.500000000109,True
2023-02-22,manual_agree,LONG,2023-02-23,1,17790.0,17566.9,50,-11154.999999999927,True
2023-03-10,manual_agree,LONG,2023-03-29,19,17489.8,17452.55,50,-1862.5,True
2023-03-13,manual_agree,LONG,2023-03-29,16,17460.0,17205.8,50,-12710.000000000036,True
2023-03-17,manual_agree,SHORT,2023-03-29,12,17165.0,17178.15,50,-657.5000000000728,True
2023-03-20,manual_agree,LONG,2023-03-29,9,17099.8,17028.9,50,-3544.999999999891,True
2023-03-21,manual_agree,SHORT,2023-03-29,8,17090.0,17160.15,50,-3507.5000000000728,True
2023-04-28,manual_agree,SHORT,2023-05-25,27,18030.25,18111.15,50,-4045.0000000000728,True
2023-05-08,manual_agree,SHORT,2023-05-25,17,18160.0,18310.4,50,-7520.000000000073,False
2023-08-03,manual_agree,LONG,2023-08-31,28,19540.0,19468.15,50,-3592.4999999999272,False
2023-09-22,manual_agree,LONG,2023-09-28,6,19750.85,19708.25,50,-2129.9999999999272,True
2023-10-04,manual_agree,LONG,2023-10-26,22,19474.1,19469.25,50,-242.49999999992724,False
2023-10-17,manual_agree,SHORT,2023-10-26,9,19834.0,19811.1,50,1145.0000000000728,True
2023-10-20,manual_agree,LONG,2023-10-26,6,19549.6,19527.85,50,-1087.5,False
2024-04-15,manual_agree,LONG,2024-04-25,10,22420.0,22357.3,25,-1567.5000000000182,True
2024-04-16,manual_agree,LONG,2024-04-25,9,22176.55,22200.75,25,605.0000000000182,True
2024-05-30,manual_agree,LONG,2024-06-27,28,22827.65,22627.35,25,-5007.500000000073,False
2024-06-03,manual_agree,SHORT,2024-06-27,24,23501.65,23407.9,25,2343.75,True
2024-07-19,manual_agree,LONG,2024-07-25,6,24761.0,24529.1,25,-5797.500000000036,True
2024-08-02,manual_agree,LONG,2024-08-29,27,24824.95,24711.55,25,-2835.0000000000364,True
2024-08-05,manual_agree,LONG,2024-08-29,24,24550.0,24102.95,25,-11176.249999999982,True
2024-08-07,manual_agree,SHORT,2024-08-29,22,24310.2,24366.45,25,-1406.25,True
2024-08-26,manual_agree,SHORT,2024-08-29,3,24901.65,25043.3,25,-3541.2499999999454,False
2024-09-10,manual_agree,SHORT,2024-09-26,16,25034.0,25083.0,25,-1225.0,True
2024-09-12,manual_agree,SHORT,2024-09-26,14,25060.0,25356.3,25,-7407.499999999982,True
2024-09-20,manual_agree,SHORT,2024-09-26,6,25552.2,25767.75,25,-5388.749999999982,False
2024-10-04,manual_agree,LONG,2024-10-31,27,25400.0,25173.85,25,-5653.750000000036,True
2024-11-06,manual_agree,SHORT,2024-11-28,22,24367.0,24587.1,25,-5502.499999999964,True
2024-11-25,manual_agree,SHORT,2024-11-28,3,24268.0,24273.5,25,-137.5,True
2024-12-19,manual_agree,LONG,2024-12-26,7,24100.0,24018.8,25,-2030.0000000000182,True
2025-01-13,manual_agree,LONG,2025-01-30,17,23400.0,23162.1,25,-5947.500000000036,True
2025-01-16,manual_agree,SHORT,2025-01-30,14,23406.0,23377.55,25,711.2500000000182,False
2025-01-29,manual_agree,SHORT,2025-01-30,1,23034.0,23148.25,25,-2856.25,False
2025-02-05,manual_agree,SHORT,2025-02-27,22,23825.0,23772.6,25,1310.0000000000364,True
2025-02-24,manual_agree,LONG,2025-02-27,3,22674.7,22612.65,25,-1551.2499999999818,False
2025-02-28,manual_agree,LONG,2025-03-27,27,22532.4,22280.05,25,-6308.750000000055,True
2025-03-06,manual_agree,SHORT,2025-03-27,21,22541.0,22620.95,25,-1998.7500000000182,False
2025-03-17,manual_agree,SHORT,2025-03-27,10,22510.2,22584.3,25,-1852.4999999999636,False
2025-03-20,manual_agree,SHORT,2025-03-27,7,23069.9,23200.25,25,-3258.7499999999636,True
2025-04-04,manual_agree,LONG,2025-04-24,20,23229.7,22958.15,25,-6788.749999999982,False
2025-04-09,manual_agree,LONG,2025-04-24,15,22544.0,22479.65,25,-1608.7499999999636,True
2025-04-15,manual_agree,SHORT,2025-04-24,9,23295.0,23340.9,25,-1147.5000000000364,True
2025-04-21,manual_agree,SHORT,2025-04-24,3,23875.9,24135.5,25,-6489.999999999964,False
2025-04-23,manual_agree,SHORT,2025-04-24,1,24310.0,24312.7,25,-67.50000000001819,False
2025-04-28,manual_agree,SHORT,2025-05-29,31,24200.2,24452.8,25,-6314.999999999964,True
2025-05-05,manual_agree,SHORT,2025-05-29,24,24481.1,24553.7,25,-1815.0000000000546,True
2025-05-22,manual_agree,LONG,2025-05-29,7,24778.0,24652.2,25,-3144.999999999982,False
2025-06-09,manual_agree,SHORT,2025-06-26,17,25205.0,25181.8,25,580.0000000000182,False
